cricket_ID,population ,toxin,ID2,time,live,dead,total,group
35,A,A,207,30,31,13,44,AA
35,A,B,208,0,75,6,81,AB
35,A,B,209,15,46,35,81,AB
35,A,B,210,30,42,39,81,AB
36,A,A,211,0,102,18,120,AA
36,A,A,212,15,86,38,124,AA
36,A,A,213,30,63,59,122,AA
36,A,B,214,0,143,11,154,AB
36,A,B,215,15,134,25,159,AB
36,A,B,216,30,123,36,159,AB
37,A,A,217,0,518,62,580,AA
37,A,A,218,15,468,119,587,AA
37,A,A,219,30,374,203,577,AA
37,A,B,220,0,169,7,176,AB
37,A,B,221,15,163,17,180,AB
37,A,B,222,30,156,25,181,AB
38,A,A,223,0,86,5,91,AA
38,A,A,224,15,96,9,105,AA
38,A,A,225,30,96,9,105,AA
38,A,B,226,0,70,6,76,AB
38,A,B,227,15,59,20,79,AB
38,A,B,228,30,51,23,74,AB
39,A,A,229,0,160,67,227,AA
39,A,A,230,15,91,144,235,AA
39,A,A,231,30,80,149,229,AA
39,A,B,232,0,225,52,277,AB
39,A,B,233,15,170,101,271,AB
39,A,B,234,30,123,146,269,AB
40,A,A,235,0,69,9,78,AA
40,A,A,236,15,75,13,88,AA
40,A,A,237,30,71,16,87,AA
40,A,B,238,0,37,49,86,AB
40,A,B,239,15,13,77,90,AB
40,A,B,240,30,11,80,91,AB
41,A,A,241,0,86,12,98,AA
41,A,A,242,15,74,30,104,AA
41,A,A,243,30,68,39,107,AA
41,A,B,244,0,140,127,267,AB
41,A,B,245,15,109,174,283,AB
41,A,B,246,30,106,182,288,AB
42,A,A,247,0,42,64,106,AA
42,A,A,248,15,37,71,108,AA
42,A,A,249,30,31,76,107,AA
42,A,B,250,0,126,97,223,AB
42,A,B,251,15,66,178,244,AB
42,A,B,252,30,58,194,252,AB
43,A,A,253,0,231,41,272,AA
43,A,A,254,15,146,120,266,AA
43,A,A,255,30,138,136,274,AA
43,A,B,256,0,55,6,61,AB
43,A,B,257,15,37,27,64,AB
43,A,B,258,30,33,31,64,AB
44,A,A,259,0,83,30,113,AA
44,A,A,260,15,74,52,126,AA
44,A,A,261,30,70,55,125,AA
44,A,B,262,0,142,65,207,AB
44,A,B,263,15,121,96,217,AB
44,A,B,264,30,105,124,229,AB
45,A,A,265,0,199,33,232,AA
45,A,A,266,15,92,123,215,AA
45,A,A,267,30,57,157,214,AA
45,A,B,268,0,270,50,320,AB
45,A,B,269,15,186,122,308,AB
45,A,B,270,30,180,126,306,AB
46,A,A,271,0,41,18,59,AA
46,A,A,272,15,28,55,83,AA
46,A,A,273,30,25,63,88,AA
46,A,B,274,0,153,38,191,AB
46,A,B,275,15,96,113,209,AB
46,A,B,276,30,84,128,212,AB
47,A,A,277,0,89,4,93,AA
47,A,A,278,15,90,13,103,AA
47,A,A,279,30,91,18,109,AA
47,A,B,280,0,134,16,150,AB
47,A,B,281,15,129,22,151,AB
47,A,B,282,30,127,33,160,AB
48,A,A,283,0,85,5,90,AA
48,A,A,284,15,81,10,91,AA
48,A,A,285,30,79,12,91,AA
48,A,B,286,0,103,3,106,AB
48,A,B,287,15,106,21,127,AB
48,A,B,288,30,106,23,129,AB
49,A,A,289,0,37,12,49,AA
49,A,A,290,15,49,30,79,AA
49,A,A,291,30,53,34,87,AA
49,A,B,292,0,102,21,123,AB
49,A,B,293,15,74,54,128,AB
49,A,B,294,30,72,61,133,AB
50,A,A,295,0,51,10,61,AA
50,A,A,296,15,44,20,64,AA
50,A,A,297,30,42,27,69,AA
50,A,B,298,0,116,9,125,AB
50,A,B,299,15,104,22,126,AB
50,A,B,300,30,97,25,122,AB
51,B,A,301,0,197,7,204,BA
51,B,A,302,15,200,20,220,BA
51,B,A,303,30,199,28,227,BA
51,B,B,304,0,166,32,198,BB
51,B,B,305,15,169,71,240,BB
51,B,B,306,30,168,79,247,BB
52,B,A,307,0,137,11,148,BA
52,B,A,308,15,124,24,148,BA
52,B,A,309,30,134,43,177,BA
52,B,B,310,0,178,41,219,BB
52,B,B,311,15,171,49,220,BB
52,B,B,312,30,159,76,235,BB
53,B,A,313,0,102,21,123,BA
53,B,A,314,15,77,50,127,BA
53,B,A,315,30,72,65,137,BA
53,B,B,316,0,88,20,108,BB
53,B,B,317,15,67,41,108,BB
53,B,B,318,30,59,50,109,BB
54,B,A,319,0,211,73,284,BA
54,B,A,320,15,184,102,286,BA
54,B,A,321,30,187,111,298,BA
54,B,B,322,0,109,8,117,BB
54,B,B,323,15,110,14,124,BB
54,B,B,324,30,107,16,123,BB
55,B,A,325,0,267,45,312,BA
55,B,A,326,15,209,82,291,BA
55,B,A,327,30,199,87,286,BA
55,B,B,328,0,191,51,242,BB
55,B,B,329,15,157,112,269,BB
55,B,B,330,30,133,132,265,BB
56,B,A,331,0,86,158,244,BA
56,B,A,332,15,44,202,246,BA
56,B,A,333,30,43,207,250,BA
56,B,B,334,0,133,14,147,BB
56,B,B,335,15,119,64,183,BB
56,B,B,336,30,111,75,186,BB
57,B,A,337,0,112,39,151,BA
57,B,A,338,15,87,94,181,BA
57,B,A,339,30,81,97,178,BA
57,B,B,340,0,287,80,367,BB
57,B,B,341,15,274,106,380,BB
57,B,B,342,30,285,126,411,BB
58,B,A,343,0,189,34,223,BA
58,B,A,344,15,175,44,219,BA
58,B,A,345,30,168,48,216,BA
58,B,B,346,0,151,41,192,BB
58,B,B,347,15,141,64,205,BB
58,B,B,348,30,137,67,204,BB
59,B,A,349,0,123,32,155,BA
59,B,A,350,15,106,56,162,BA
59,B,A,351,30,103,62,165,BA
59,B,B,352,0,110,21,131,BB
59,B,B,353,15,85,33,118,BB
59,B,B,354,30,82,36,118,BB
60,B,A,355,0,217,22,239,BA
60,B,A,356,15,199,37,236,BA
60,B,A,357,30,195,39,234,BA
60,B,B,358,0,127,27,154,BB
60,B,B,359,15,117,48,165,BB
60,B,B,360,30,109,55,164,BB
