male_ID,treatment,male_age,time_factor,mean.sperm.motility
18,with seminal fluid,9 days,0 mins,15.50333333
18,with seminal fluid,9 days,2 mins,13.24333333
18,with seminal fluid,9 days,4 mins,12.73666667
18,with seminal fluid,9 days,6 mins ,11.35
18,without seminal fluid,9 days,0 mins,5.243333333
18,without seminal fluid,9 days,2 mins,4.106666667
18,without seminal fluid,9 days,4 mins,2.72
18,without seminal fluid,9 days,6 mins ,2.426666667
19,without seminal fluid,9 days,0 mins,12.53333333
19,without seminal fluid,9 days,2 mins,10.04666667
19,without seminal fluid,9 days,4 mins,8.413333333
19,without seminal fluid,9 days,6 mins ,7.75
19,with seminal fluid,9 days,0 mins,14.38666667
19,with seminal fluid,9 days,2 mins,13.46333333
19,with seminal fluid,9 days,4 mins,12.85333333
19,with seminal fluid,9 days,6 mins ,11.70666667
20,with seminal fluid,9 days,0 mins,12.87
20,with seminal fluid,9 days,2 mins,11.52333333
20,with seminal fluid,9 days,4 mins,10.81333333
20,with seminal fluid,9 days,6 mins ,9.986666667
20,without seminal fluid,9 days,0 mins,5.313333333
20,without seminal fluid,9 days,2 mins,3.343333333
20,without seminal fluid,9 days,4 mins,2.726666667
20,without seminal fluid,9 days,6 mins ,2.603333333
21,without seminal fluid,9 days,0 mins,11.20333333
21,without seminal fluid,9 days,2 mins,9.576666667
21,without seminal fluid,9 days,4 mins,8.25
21,without seminal fluid,9 days,6 mins ,6.673333333
21,with seminal fluid,9 days,0 mins,13.62666667
21,with seminal fluid,9 days,2 mins,11.59
21,with seminal fluid,9 days,4 mins,9.296666667
21,with seminal fluid,9 days,6 mins ,8.58
23,without seminal fluid,12 days,0 mins,15.89333333
23,without seminal fluid,12 days,2 mins,12.10333333
23,without seminal fluid,12 days,4 mins,10.11666667
23,without seminal fluid,12 days,6 mins ,8.626666667
23,with seminal fluid,12 days,0 mins,3.343333333
23,with seminal fluid,12 days,2 mins,2.436666667
23,with seminal fluid,12 days,4 mins,1.513333333
23,with seminal fluid,12 days,6 mins ,1.283333333
24,with seminal fluid,12 days,0 mins,12
24,with seminal fluid,12 days,2 mins,10.26666667
24,with seminal fluid,12 days,4 mins,9.19
24,with seminal fluid,12 days,6 mins ,8.013333333
24,without seminal fluid,12 days,0 mins,10.79333333
24,without seminal fluid,12 days,2 mins,9.723333333
24,without seminal fluid,12 days,4 mins,8.423333333
24,without seminal fluid,12 days,6 mins ,7.213333333
25,without seminal fluid,12 days,0 mins,10.75333333
25,without seminal fluid,12 days,2 mins,11.10666667
25,without seminal fluid,12 days,4 mins,6.956666667
25,without seminal fluid,12 days,6 mins ,4.516666667
25,with seminal fluid,12 days,0 mins,13.96666667
25,with seminal fluid,12 days,2 mins,10.95666667
25,with seminal fluid,12 days,4 mins,8.583333333
25,with seminal fluid,12 days,6 mins ,5.913333333
26,with seminal fluid,12 days,0 mins,14.38
26,with seminal fluid,12 days,2 mins,12.74333333
26,with seminal fluid,12 days,4 mins,11.92333333
26,with seminal fluid,12 days,6 mins ,11.46
26,without seminal fluid,12 days,0 mins,12.82333333
26,without seminal fluid,12 days,2 mins,10.91333333
26,without seminal fluid,12 days,4 mins,9.216666667
26,without seminal fluid,12 days,6 mins ,8.303333333
27,without seminal fluid,12 days,0 mins,12.20333333
27,without seminal fluid,12 days,2 mins,11.25
27,without seminal fluid,12 days,4 mins,9.773333333
27,without seminal fluid,12 days,6 mins ,8.57
27,with seminal fluid,12 days,0 mins,16.65333333
27,with seminal fluid,12 days,2 mins,15.58
27,with seminal fluid,12 days,4 mins,14.76666667
27,with seminal fluid,12 days,6 mins ,14.37
28,with seminal fluid,12 days,0 mins,15.32333333
28,with seminal fluid,12 days,2 mins,15.78333333
28,with seminal fluid,12 days,4 mins,13.00333333
28,with seminal fluid,12 days,6 mins ,11.53
28,without seminal fluid,12 days,0 mins,6.463333333
28,without seminal fluid,12 days,2 mins,3.506666667
28,without seminal fluid,12 days,4 mins,3.303333333
28,without seminal fluid,12 days,6 mins ,2.883333333
29,without seminal fluid,12 days,0 mins,13.16333333
29,without seminal fluid,12 days,2 mins,9.41
29,without seminal fluid,12 days,4 mins,8.093333333
29,without seminal fluid,12 days,6 mins ,7.436666667
29,with seminal fluid,12 days,0 mins,14.37333333
29,with seminal fluid,12 days,2 mins,9.133333333
29,with seminal fluid,12 days,4 mins,8.21
29,with seminal fluid,12 days,6 mins ,7.4
